"Survey Date and Time","Surveyer id","General Data-Tehsil","General Data-District","General Data-Establishment Address","General Data-Udyog Registered","General Data-If yes Number","General Data-Class","General Data-Sector","General Data-If Any Other Sector Please specify","General Data-Year of Establishment","Details of the Business-Name of Business","Details of the Business-Type of Unit","Details of the Business-Nature of Operation","Details of the Business-Nature Of Job","Details of the Business-Nature Of Employment","Employee Size-2016-17","Employee Size-2017-18","Employee Size-2018-19","Employee Size-2019-20","Employee Size-2020-21","Details of the Finances and Expenses-(Monthly  Cost)-2016-17","Details of the Finances and Expenses-(Monthly  Cost)-2017-18","Details of the Finances and Expenses-(Monthly  Cost)-2018-19","Details of the Finances and Expenses-(Monthly  Cost)-2019-20","Details of the Finances and Expenses-(Monthly  Cost)-2020-21","Details of the Bank Credit Facilitation and Utilization-(Loan Amount)-2016-17","Details of the Bank Credit Facilitation and Utilization-(Loan Amount)-2017-18","Details of the Bank Credit Facilitation and Utilization-(Loan Amount)-2018-19","Details of the Bank Credit Facilitation and Utilization-(Loan Amount)-2019-20","Details of the Bank Credit Facilitation and Utilization-(Loan Amount)-2020-21","Details of the Bank Credit Facilitation and Utilization-(Bank Name)-2016-17","Details of the Bank Credit Facilitation and Utilization-(Bank Name)-2017-18","Details of the Bank Credit Facilitation and Utilization-(Bank Name)-2018-19","Details of the Bank Credit Facilitation and Utilization-(Bank Name)-2019-20","Details of the Bank Credit Facilitation and Utilization-(Bank Name)-2020-21","Details of the Bank Credit Facilitation and Utilization-(Scheme Name under which it was availed)-Scheme","Photos-Person interviewed","Photos-Signboard of Company","Photos-Picture of business operation"
"2021-08-14 06:43:26",19,ikauna,Shravasti,"chowk, Gautama nagar , ikauna",No,,"[""Services""]","Food products",,2019,food,Micro,Perennial,Unskilled,Permanent,,,,1,1,,,,10000,10000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 10:29:00",19,"Saheed Nagar",Agra,"jangaeet nagar rajput Chungi shamsagra",No,,"[""Manufacturing""]","Repairing & Services",,2021,"food shop",Micro,Perennial,Unskilled,Contractual,,,,,,,,,,,,,,,,,,,,,"Coir Upgradation",,,
"2021-08-14 03:18:56",19,"etawah ","Ambedkar Nagar","Saray khamjaswant nagar up",No,,"[""Manufacturing""]","Wool Silk and Synthetic Fibre Textile",,2021,"wood silk",Micro,Perennial,Unskilled,Permanent,,,,,,,,,,,,,,,,,,,,,ATI,,,
"2021-08-14 06:45:01",19,madhogarh,Pratapgarh,"chilbila, pas him madhoganj, pratapgarh",No,,"[""Services""]","Repairing & Services",,2020,shop,Micro,Perennial,Unskilled,Permanent,,,,,1,,,,,10000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 05:06:03",19,bageechi,Allahabad,"banana Devi Aligarh",No,,"[""Manufacturing""]","Repairing & Services",,2020,"repairing service",Micro,Perennial,Skilled,Contractual,,,,,2,,,,,14000,,,,,500000,,,,,"Bandhan Bank","Coir Upgradation",,,
"2021-08-14 06:47:44",19,gorakhpur,Maharajganj,"so is arch and jugauli maharajganj uttar paradesh",No,,"[""Services""]","Repairing & Services",,2019,shop,Micro,Perennial,Unskilled,Permanent,,,,1,1,,,,10000,10000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 03:21:35",19,"marhura ",Aligarh,"daruaza mathura mathura uttar pradesh",No,,"[""Manufacturing""]","Food products",,2021,"wood product",Micro,Perennial,Unskilled,Contractual,,,,,,,,,,,,,,,,,,,,,ISEC,,,
"2021-08-14 06:49:15",19,amauli,RaeBareli,"so raj Kumar mehrajganj kanoli raebareli",No,,"[""Services""]","Repairing & Services",,2020,shop,Micro,Perennial,Unskilled,Permanent,,,,,1,,,,,15000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 04:22:44",19,delhi,Aligarh,"green house pandav na gar new delhi delhi",No,,"[""Manufacturing""]","Food products",,2021,"food shop",Micro,Perennial,Unskilled,Permanent,,,,,,,,,,,,,,,,,,,,,"Coir Upgradation",,,
"2021-08-14 06:51:30",19,ahmadur,Shahjahanpur,"mutihasa, piprola  ahmadpur",No,,"[""Services""]","Repairing & Services",,2020,shop,Micro,Perennial,Unskilled,Permanent,,,,,1,,,,,10000,,,,,,,,,,,PMEGP/MUDRA,,,
